MV3-MM51,9.2,5.29,7.14,-80.683617,37.292903,-80.683483,37.292839,-80.683475,37.292917
MV3-MM48,6.86,7.74,7.3,-80.683617,37.292903,-80.683483,37.292839,-80.683475,37.292917
MV3-MM66,9.11,5.26,7.7,-80.683617,37.292903,-80.683483,37.292839,-80.683475,37.292917
MV3-NJF33,6.93,7.74,7.15,-80.683617,37.292903,-80.683483,37.292839,-80.683475,37.292917
MV3-RH05,9.1,5.41,7.91,-80.683617,37.292903,-80.683483,37.292839,-80.683475,37.292917
MV3-MM49,7.45,7.23,6.91,-80.683617,37.292903,-80.683483,37.292839,-80.683475,37.292917
MV3-RH06,8.76,5.77,7.98,-80.683617,37.292903,-80.683483,37.292839,-80.683475,37.292917
MV3-MM50,7.82,6.77,6.82,-80.683617,37.292903,-80.683483,37.292839,-80.683475,37.292917
MV3-NJF24,8.61,5.8,7.54,-80.683617,37.292903,-80.683483,37.292839,-80.683475,37.292917
MV3-MM44,7.83,6.74,7.1,-80.683617,37.292903,-80.683483,37.292839,-80.683475,37.292917
MV3-NJF26,8.67,5.84,7.82,-80.683617,37.292903,-80.683483,37.292839,-80.683475,37.292917
MV3-MM45,7.72,6.86,7.18,-80.683617,37.292903,-80.683483,37.292839,-80.683475,37.292917
MV3-NJF25,8.15,6.32,7.84,-80.683617,37.292903,-80.683483,37.292839,-80.683475,37.292917
MV3-MM43,7.87,6.63,7.23,-80.683617,37.292903,-80.683483,37.292839,-80.683475,37.292917
MV3-RH07,8.49,5.99,8.09,-80.683617,37.292903,-80.683483,37.292839,-80.683475,37.292917
MV3-MM42,7.96,6.58,7.44,-80.683617,37.292903,-80.683483,37.292839,-80.683475,37.292917
MV3-RH08,8.09,6.36,8.41,-80.683617,37.292903,-80.683483,37.292839,-80.683475,37.292917
MV3-MM41,7.92,6.5,7.54,-80.683617,37.292903,-80.683483,37.292839,-80.683475,37.292917
MV3-RH09,7.68,6.77,8.44,-80.683617,37.292903,-80.683483,37.292839,-80.683475,37.292917
MV3-MM47,6.91,7.57,7.65,-80.683617,37.292903,-80.683483,37.292839,-80.683475,37.292917
MV3-NJF33,7.3,7.13,8.25,-80.683617,37.292903,-80.683483,37.292839,-80.683475,37.292917
MV3-MM46,6.84,7.62,7.86,-80.683617,37.292903,-80.683483,37.292839,-80.683475,37.292917
MV3-MEA66,7.2,7.23,7.95,-80.683617,37.292903,-80.683483,37.292839,-80.683475,37.292917
MV3-RH12,8.46,6.24,4.46,-80.683617,37.292903,-80.683483,37.292839,-80.683475,37.292917
MV3-RH10,7.11,7.83,9.86,-80.683617,37.292903,-80.683483,37.292839,-80.683475,37.292917
MV3-RH13,8.07,6.51,8.77,-80.683617,37.292903,-80.683483,37.292839,-80.683475,37.292917
MV3-RH11,7.7,7.19,9.62,-80.683617,37.292903,-80.683483,37.292839,-80.683475,37.292917
